,City,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,Wind Speed
0,Gat,20,SN,1570148896,88,14.69,-16.54,82.4,5.82
1,Busselton,94,AU,1570148897,60,-33.64,115.35,61.0,23.76
2,Najran,0,SA,1570148898,26,17.54,44.22,80.6,4.7
3,Upernavik,100,GL,1570148888,74,72.79,-56.15,38.07,8.95
4,Bredasdorp,18,ZA,1570148899,82,-34.53,20.04,61.0,3.36
5,Vangaindrano,62,MG,1570148899,96,-23.35,47.6,68.69,2.08
6,Severo-Kurilsk,100,RU,1570148900,80,50.68,156.12,41.76,15.84
7,Dutlwe,0,BW,1570148900,30,-23.98,23.93,63.38,10.71
8,Edelira,15,PY,1570148901,97,-26.75,-55.27,71.25,1.32
9,Cape Town,75,ZA,1570148901,93,-33.93,18.42,60.01,6.93
10,Hobart,75,AU,1570148329,44,-42.88,147.33,57.99,8.05
11,Kenora,40,CA,1570148902,86,49.76,-94.48,44.6,2.24
12,Suzhou,0,CN,1570148902,75,31.3,120.58,76.72,3.98
13,Viedma,100,AR,1570148903,68,-40.81,-62.99,51.01,11.01
14,Saint-Philippe,90,CA,1570148903,70,45.36,-73.48,48.2,9.17
15,Rikitea,89,PF,1570148904,79,-23.12,-134.97,69.43,22.5
16,Belyy Yar,0,RU,1570148904,92,53.6,91.39,21.2,2.24
17,Bluff,0,AU,1570148905,38,-23.58,149.07,72.38,7.61
18,Hongjiang,0,CN,1570148905,68,27.21,109.83,73.12,1.7
19,Kaitangata,94,NZ,1570148905,49,-46.28,169.85,62.01,5.01
20,Stykkisholmur,100,IS,1570148906,87,65.08,-22.73,39.5,15.55
21,Ostrovnoy,98,RU,1570148906,83,68.05,39.51,33.45,11.23
22,Cabo San Lucas,20,MX,1570148684,61,22.89,-109.91,84.99,12.75
23,Port Alfred,37,ZA,1570148907,83,-33.59,26.89,57.99,3.0
24,Tazovskiy,100,RU,1570148908,97,67.47,78.7,41.5,9.84
25,Suntar,100,RU,1570148908,92,62.16,117.65,33.79,8.32
26,Tasiilaq,100,GL,1570148909,80,65.61,-37.64,39.2,27.51
27,Ellsworth,20,US,1570148909,75,44.54,-68.42,48.99,6.93
28,Yellowknife,20,CA,1570148906,61,62.45,-114.38,51.01,9.17
29,Tuktoyaktuk,90,CA,1570148910,100,69.44,-133.03,35.6,8.05
30,La Orilla,0,MX,1570148910,79,18.0,-102.23,81.87,5.77
31,Puerto Ayora,20,EC,1570148809,73,-0.74,-90.35,71.6,17.22
32,Bilma,46,NE,1570148915,9,18.69,12.92,87.21,10.13
33,Sao Filipe,95,CV,1570148916,82,14.9,-24.5,78.97,3.98
34,Sangar,40,RU,1570148916,57,63.92,127.47,23.55,8.46
35,Constitucion,75,MX,1570148916,52,23.99,-104.67,72.0,6.93
36,Ushuaia,40,AR,1570148684,56,-54.81,-68.31,44.6,13.87
37,Pisco,75,PE,1570148819,82,-13.71,-76.2,63.0,18.34
38,Kirakira,23,SB,1570148918,73,-10.46,161.92,82.03,3.8
39,Soyo,92,AO,1570148918,88,-6.13,12.37,75.75,13.53
40,Avarua,72,CK,1570148890,65,-21.21,-159.78,78.8,8.05
41,Cidreira,100,BR,1570148836,90,-30.17,-50.22,63.96,15.52
42,Jamestown,73,AU,1570148638,33,-33.21,138.6,76.99,10.47
43,Quatre Cocos,75,MU,1570148920,94,-20.21,57.76,73.4,14.99
44,Poltavskaya,55,RU,1570148920,100,45.36,38.22,60.01,6.58
45,Taywarah,0,AF,1570148920,55,33.35,64.42,41.15,5.84
46,Punta Arenas,75,CL,1570148921,70,-53.16,-70.91,42.8,11.41
47,Poronaysk,100,RU,1570148921,93,49.22,143.1,37.7,7.81
48,Nizhniy Lomov,79,RU,1570148922,81,53.53,43.67,52.15,13.65
49,Meulaboh,92,ID,1570148922,78,4.14,96.13,80.56,6.96
50,Srednekolymsk,99,RU,1570148923,86,67.46,153.71,26.12,18.34
51,Taft,63,PH,1570148923,78,11.9,125.42,79.49,0.63
52,Sanming,17,CN,1570148924,65,26.24,117.6,76.86,1.74
53,Mount Gambier,90,AU,1570148924,87,-37.83,140.78,53.6,9.17
54,Albany,90,US,1570148763,87,42.65,-73.75,50.0,4.7
55,Damaturu,85,NG,1570148926,64,11.75,11.96,79.87,6.33
56,Hasaki,75,JP,1570148926,94,35.73,140.83,72.0,17.22
57,Vaini,75,IN,1570148927,100,15.34,74.49,68.0,2.08
58,Norman Wells,40,CA,1570148927,81,65.28,-126.83,44.6,13.87
59,Castro,0,CL,1570148928,75,-42.48,-73.76,46.4,8.05
60,Sibu,90,MY,1570148928,94,2.29,111.83,73.4,5.82
61,Bosaso,18,SO,1570148929,70,11.28,49.18,85.67,7.87
62,Lavrentiya,100,RU,1570148929,98,65.58,-170.99,35.39,14.5
63,Nemuro,75,JP,1570148930,93,43.32,145.57,60.8,3.36
64,Kampene,99,CD,1570148931,99,-3.59,26.67,69.09,2.75
65,Atuona,0,PF,1570148931,76,-9.8,-139.03,80.19,16.37
66,Huallanca,92,PE,1570148932,98,-9.9,-76.94,33.85,4.63
67,Pacifica,1,US,1570148932,72,37.61,-122.49,68.0,13.87
68,Anandpur Sahib,40,IN,1570148933,94,31.23,76.5,69.8,3.36
69,Kodiak,1,US,1570148933,71,39.95,-94.76,55.4,8.05
70,Colon,40,PH,1570148934,70,10.22,123.75,86.0,2.24
71,Kapaa,75,US,1570148934,70,22.08,-159.32,87.8,16.11
72,Hilo,1,US,1570148934,58,19.71,-155.08,87.8,6.93
73,Sisimiut,50,GL,1570148887,68,66.94,-53.67,41.62,5.79
74,Grindavik,90,IS,1570148935,81,63.84,-22.43,48.2,29.97
75,Namibe,65,AO,1570148936,81,-15.19,12.15,65.22,8.25
76,Port Lincoln,100,AU,1570148936,69,-34.72,135.86,64.05,19.75
77,New Norfolk,75,AU,1570148937,44,-42.78,147.06,57.2,8.05
78,Carutapera,11,BR,1570148937,77,-1.2,-46.02,79.08,8.99
79,Yulara,0,AU,1570148938,10,-25.24,130.99,87.8,12.75
80,Tiznit,0,MA,1570148938,77,29.7,-9.73,69.41,11.07
81,Veinticinco de Mayo,12,AR,1570148939,93,-27.38,-54.75,68.0,0.54
82,Homer,1,US,1570148939,66,59.64,-151.54,52.0,8.05
83,Koshki,88,RU,1570148940,90,54.2,50.47,51.05,6.13
84,Port Elizabeth,90,US,1570148940,94,39.31,-74.98,71.01,8.05
85,Umm Kaddadah,99,SD,1570148941,57,13.6,26.69,79.73,6.73
86,Firovo,100,RU,1570148941,97,57.48,33.7,42.21,8.61
87,Saint George,40,GR,1570148942,77,39.45,22.34,66.2,16.11
88,Tres Arroyos,100,AR,1570148942,60,-38.38,-60.28,44.56,11.34
89,Itarema,0,BR,1570148943,81,-2.92,-39.92,77.3,10.2
90,Varkaus,90,FI,1570148943,93,62.32,27.87,35.6,8.05
91,Carballo,90,ES,1570148944,93,43.21,-8.69,64.99,3.36
92,Carauari,78,BR,1570148944,66,-4.88,-66.9,80.97,1.34
93,Fairbanks,90,US,1570148945,100,64.84,-147.72,41.0,2.75
94,Midland,75,US,1570148945,37,32.0,-102.08,87.8,12.75
95,Koster,0,ZA,1570148946,47,-25.86,26.9,55.4,2.24
96,Tuatapere,97,NZ,1570148946,60,-46.13,167.69,60.01,11.99
97,Ornskoldsvik,25,SE,1570148947,55,63.29,18.72,35.6,11.41
98,Khor,99,RU,1570148947,64,47.88,134.96,43.51,14.25
99,Vysokogornyy,100,RU,1570148948,66,50.1,139.13,34.3,4.99
100,Sussex,75,CA,1570148948,81,45.72,-65.51,46.0,4.7
101,Daru,91,PG,1570148948,76,-9.07,143.21,80.1,13.94
102,Vardo,90,US,1570148950,82,39.62,-77.74,75.0,8.05
103,Newport,90,US,1570148950,81,41.49,-71.31,54.0,4.7
104,Nanortalik,100,GL,1570148950,72,60.14,-45.24,41.64,5.06
105,Kulu,100,CD,1570148951,99,3.47,23.69,66.48,1.97
106,Smithers,90,CA,1570148658,93,54.78,-127.17,46.4,2.24
107,Longyearbyen,75,NO,1570148952,86,78.22,15.63,33.8,5.82
108,Nova Olimpia,82,BR,1570148687,84,-14.8,-57.29,75.46,5.41
109,Ipixuna,0,BR,1570148953,88,-1.76,-48.8,77.0,8.05
110,East London,46,ZA,1570148953,92,-33.02,27.91,56.15,2.8
111,Ambanja,89,MG,1570148954,80,-13.68,48.45,78.38,6.33
112,Butaritari,100,KI,1570148955,71,3.07,172.79,82.48,6.91
113,Presidencia Roque Saenz Pena,100,AR,1570148955,95,-26.79,-60.44,61.98,4.97
114,Dikson,100,RU,1570148956,87,73.51,80.55,28.23,22.28
115,Axim,100,GH,1570148956,90,4.87,-2.24,76.85,12.64
116,Wilmington,90,US,1570148705,100,39.75,-75.55,64.4,6.93
117,Gazli,0,UZ,1570148957,41,40.13,63.45,52.89,8.5
118,Mataura,100,NZ,1570148957,60,-46.19,168.86,60.01,11.99
119,Banjar,64,ID,1570148958,79,-7.37,108.54,75.37,3.0
120,Sinnamary,62,GF,1570148958,81,5.38,-52.96,82.05,19.22
121,Rantepao,45,ID,1570148959,82,-2.97,119.9,64.37,3.56
122,Rio Grande,99,BR,1570148714,93,-32.03,-52.1,58.06,10.87
123,Beringovskiy,40,RU,1570148960,67,63.05,179.32,29.18,15.95
124,Clyde River,75,CA,1570148961,94,70.47,-68.59,33.8,13.87
125,Fortuna,20,US,1570148872,59,40.6,-124.16,63.0,14.99
126,Dakar,20,SN,1570148679,88,14.69,-17.45,82.4,6.31
127,Honningsvag,96,NO,1570148962,64,70.98,25.97,38.8,11.83
128,Businga,100,CD,1570148963,98,3.34,20.89,66.73,1.63
129,Maua,28,KE,1570148963,91,0.23,37.94,50.75,10.47
130,Zhangzhou,20,CN,1570148964,83,24.51,117.65,82.4,4.47
131,Naron,90,ES,1570148964,93,43.52,-8.15,64.99,3.36
132,Hermanus,51,ZA,1570148965,79,-34.42,19.24,61.0,5.99
133,Road Town,40,VG,1570148909,79,18.42,-64.62,84.2,5.82
134,Celestun,0,MX,1570148966,76,20.87,-90.4,82.88,10.85
